output3
bld_nm,phone
"국민연금공단(충정로 사옥, 잠실 사옥)",010-2030-5436
염경중학교,02-3661-6253
서울우장초등학교,02-2602-1675
목일중학교,010-9102-8468
서울망우초등학교,02-2209-6326
국민연금공단 충정로사옥,010-2222-8767
장안1동 공영주차장,02-2290-7223
"국민연금공단(충정로 사옥, 잠실 사옥)",02-3433-5815
광희빌딩,02)2273-0511
신목중학교,02-6206-7405
서울새솔초등학교,02-902-559
이룸센터,010-4154-0690
강남빌딩,010-5508-5632
트리니티빌딩(트리니티병원),010-3395-5922
경풍빌딩,010-6288-0700
서울지방우정청,02-350-3524
"경찰장비보급센터,외사과",010-3679-5848
다봉타워,010-2912-8077
디엠시센트럴아이파크 2차상가,010-8328-7560
세방빌딩,010-6231-3785
코이노,010-3652-0939
학교법인 이화학당,010-9124-9619
대한적십자사 서울특별지사 재난안전센터,010-2313-2039
서울시청 서소문별관,010-8751-6006
EAN빌딩,010-5538-3852
구립갈현노인복지관,010-4409-4990
올리비움산후조리원,010-4814-2000
한국환경산업기술원,02-2284-1202
파인블루,010-3180-4285
한양아파트상가,010-3336-6764
서울원묵초등학교,010-3703-5457
에이스성수타워 1,010-4128-8937
선덕빌딩(전주이씨선성군파종중),02-467-2290
서울정릉초등학교,02-162-590
(사)케이비엘,010-3155-8205
호텔베이204,010-3695-0373
창성재단빌딩,010-8802-2290
교정공제회빌딩,02-845-613
개봉교회,010-2355-4318
대한적십자사 ,02-3705-3532
타워크리닉,02-355-0801
예술의전당,02-580-1202
신도리코빌딩,010-4563-7501
서울사이버대학교,010-4746-2984
솔보프라자1,010-2825-5501
 풍정빌딩,010-6364-9865
한국국방연구원,02-611-266
에이스테크노타워1차,010-5072-7732
서울지방우정청,02-2390-513
더세인트빌딩,010-9217-9305
동화빌딩,010-5415-4084
한샘상암,02-3152-8805
DM스퀘어,010-2375-3876
(주)오일관광풍전호텔,02-2807-000
피앤피스테이션,02-6988-1146
(주)아주호텔서교,010-2707-5431
일양빌딩 신관,010-2039-5347
예금보험공사 빌딩,02-580-810
엠디호텔 독산,010-2708-3671
강서농산물도매시장,02-2640-6041
국민건강보험공단 서울요양원,02-2160-1008
TP타워,010-5479-8517
HK타워,010-2873-4498
서울지방우정청,02-7039-142
이스트빌딩,010-8888-1462
서울미아초등학교,02-124-014
(주)정원씨앤에스,02-6771-119
하계테크노타운,010-2408-7464
원묵고등학교,070-3420-6203
마곡에스비타워3,010-8763-6279
탄천물재생센터(관리동),02-4109-783
한국보건의료인국가시험원,02-2087-8838
내를 건너서 숲으로 도서관,02-076-701
서초구립 양재노인종합복지관,010-8904-0080
한진빌딩,010-4323-6967
한국기독교장로회 강남교회,02-6015-233
마곡하늬중학교,02-9855-920
영등포K1빌딩,010-3571-2243
사조산업(주)독산냉장,02-660-101
우면프라자1차상가,010-5800-3591
서울내발산초등학교,02-6648-827
수송스퀘어,010-3887-7568
관악고등학교,070-5077-4211
서초유스센터,010-6288-9692
장위동성당,010-8738-1879
서초여성가족플라자,02-220-291
송파구 보건지소,010-2276-6391
오류문화센터,02-2614-7960
대한적십자사 서울동부혈액원,02-2092-9314
한맥콘트롤즈(주) RND CENTER,010-8232-0311
삼정빌딩,010-3239-7403
서울월드컵경기장,010-9982-7237
리더스퀘어마곡,010-9293-5496
경희궁의아침2단지,02-340-258
서울구암유치원,010-9521-2322
타워432,070-8955-0504
서울시설공단,010-9104-0444
궁동종합사회복지관,010-5274-7750
강동구의회,010-2996-2888
나라키움구로복합관사,010-3206-9123
대한민국역사박물관,02-7039-233
서울숲코오롱디지털타워2,02-468-5960
베다니교회,010-9198-2724
화인빌딩,010-7765-3565
강동구청,02-4255-098
그린&케어센터,02-6701-687
구립증산정보도서관,02-307-6031
신풍제약(주),010-9187-9561
당곡중학교,02-707-704
상원중학교,02-300-761
서울교통공사 성산별관,02-6311-6625
서울신방학초등학교,02-566-504
강남태영데시앙루브,010-3347-1603
대치클래시아,010-3465-5489
아남타워,010-9077-7148
더플라자 호텔,010-5135-1030
서대문세무서,010-8734-7516
인헌고등학교,070-4361-1371
교정공제회빌딩,02-845-613
홍일빌딩,010-3754-1852
aT센터,02-6300-1467
피델리아타워,010-8243-5896
프린스타워,010-9548-3609
aT센터,02-6300-1467
유정빌딩,010-4751-7359
신림중학교,070-5077-6805
영등포중학교,02-815-6572
동작중학교,02-916-524
서울청룡초등학교,02-871-5988
상현중학교,02-815-4620
서울대림초등학교,02-226-308
서울은로유치원,010-9039-1387
영등포중학교,02-815-6572
경서중학교,02-6394-9004
서초구청사,02-1556-150
강남초,02-283-004
남성중학교,010-2212-9343
서울인헌초등학교,02-728-105
네모313빌딩,010-9047-8920
노원구민의전당,02-289-6845
서울청림유치원,02-758-807
캐논케이타워,010-8899-2795
한국과학기술원,02-583-233
강서양천교육지원청,02-2600-0930
대방중학교,02-831-2502
한국지식재산센터,02-3459-2920
본관동,02-2086-7503
DDP패션몰,010-8257-4993
미래엔 빌딩,010-5393-2717
캠코양재타워,02-720-182
서울사당초등학교,02-522-8782
충정로대우디오빌,010-6583-5787
대치이엠프라자,010-4221-3954
반포쇼핑1동,02-593-9033
고척스카이돔,02-2128-2370
서울묵동초등학교,02-335-089
서울신봉초등학교,02-719-615
서울영본초등학교,02-817-1892
강남센타빌딩,02-3420-3000
효성티앤씨주식회사 더트리니티,010-5203-7157
용산꿈나무종합타운,02-1997-016
바비엥1,02-0769-029
노원세무서,02-499-0244
경기상업고등학교,02-370-583
수서타워,02-4130-121
한국방송공사,010-6366-2352
지방공기업평가원,02-3489-2703
고려대학교사범대학부속중학교 본관,010-7175-8475
성암국제무역고등학교 / 성암여자중학교,02-2179-1811
리베로,010-5268-2305
동광빌딩,010-5175-6670
종로노인종합복지관,010-8874-5201
서울상도초등학교,02-220-078
서울지방우정청,02-220-583
서울봉현초등학교,02-885-1986
삼호가든쇼핑센타,010-5446-7873
모터씨티빌딩,02-689-770
동국빌딩,02-333-132
서울신성초등학교,010-2269-8669
한양메디컬빌딩,010-2643-8323
인헌중학교,02-770-047
청실종합상가,010-2229-3507
경원빌딩,010-8632-6309
한국지방세연구원,010-7131-8812
종로코아,010-4180-4035
모델솔루션(주),010-2855-3974
혜민병원,010-7104-8387
서울인헌초등학교,010-6317-2019
역삼노인복지관,02-015-674
지와인비지니스센터,010-8260-2046
강남센타빌딩,02-3420-3000
동익빌딩,02-198-8507
주택건설회관,02-761-6969
금강프라자,02-2664-2959
서울조원초등학교,02-692-238
돈의문박물관마을,010-2333-9797
청와대 ,02-771-8675
서울목운초등학교,02-061-5213
동대문구정보화도서관,02-612-050
대한적십자사서울특별시지사,010-3433-3573
서울양화초등학교,02-2647-4360
서울목원초등학교,02-2643-5773
서울지방우정청,010-3536-5652
북서울중학교,010-5048-8357
서초50플러스센터,02-579-5060
상명빌딩,010-7742-5089
서울신강초등학교,02-6098-1406
아이에스비즈타워2차,010-5777-3034
오라카이 청계산 호텔,010-8369-3310
한화생명보험 (주) 한화빌딩,010-3778-6492
창진빌딩,010-8867-4239
크리스 역삼빌딩,010-5282-1978
구립송파노인요양센터,02-415-0056
삼영빌딩,010-8935-5124
H타워,010-7103-5871
문성중학교,010-2525-0855
국민건강보험공단 강남북부지사,02-3218-0116
보성여자고등학교,02-6328-9683
남뮨빌딩,010-5299-3341
중곡종합사회복지관,02-3436-4316
강서 한화비즈메트로,010-5227-2697
한국금융투자협회,010-9114-2619
웰빙메디컬빌딩,010-3664-7237
한화생명 금융서비스 남대문사옥,02-793-520
서울어린이대공원,02-450-9318
오리온홀딩스 916빌딩,010-9091-9256
양화진빌딩,010-3086-2668
서울 강동구 강일동 아이메디컬,010-9067-3904
국민건강보험빌딩,02-2164-1112
효성첨단소재(주)등촌동빌딩,010-6253-3982
정의여자중학교,02-4995-302
건빌딩,010-3938-7830
서울미성초등학교,010-9433-5458
목운중학교,02-7339-605
장충교회,010-3665-9590
한화생명 빌딩(불광동),02-591-134
파이언넷 마곡사옥,010-2213-6518
로얄호텔서울,010-4133-4309
한국보훈복지의료공단 중앙보훈병원,02-2225-1177
동곡빌딩,010-8999-2854
청담역푸르지오시티,010-8585-7025
청량리중앙교회,010-3711-3363
대한예수교장로회강일교회,010-7563-0191
우리W타워,010-8782-0509
에스디바이오센서빌딩,010-8732-4026
구립용산노인전문요양원,02-155-540
서울보라매초등학교,02-6732-185
서울난우초등학교,070-7874-1285
서울드래곤시티,010-4527-1830
관악경찰서,010-7531-3643
서대문소방서,02-9815-421
현대백화점 본사,010-9206-5035
서울봉천초등학교,88878573
현대백화점 본사,010-6474-6749
서울동작초등학교,02-537-1072
서울가정행정법원청사,02-055-7109
대신고등학교 본관,02-743-9070
은평구립도서관,010-9184-8403
서울지방우정청,02-660-8975
한화금융센터-서초,02-202-401
세곡중학교,02-0402-902
동하빌딩,02-520-226
(주)고려레미콘,010-3629-9804
릿타워,010-3710-8431
아크로타워스퀘어상가,010-8763-5732
국립산림과학원,010-4000-4857
명동 마이티 빌딩,010-4741-2239
한성청담빌딩,010-3518-3753
보전빌딩,010-8873-8901
LG팰리스빌딩,010-2005-7285
서울상록회관,02-560-2427
신아빌딩,02-779-871
성북청소년문화의집,02-919-9566
가나안감리교회,821067654527
홍릉 글로벌지식협력단지,010-8731-0177
보전빌딩,010-8873-8901
SK1 TOWER,010-9690-5825
덕원빌딩,010-3573-6428
서울석관초등학교,010-9888-3004
기아(주)시흥서비스센터,02-890-2603
서초로이움지젤,010-6302-1472
건설기술인회관 본관동,02-4169-218
더네이쳐홀딩스사옥,070-5056-5425
불광보건지소,02-518-653
국립현대미술관 창동레지던시,02-995-3720
더네이쳐홀딩스사옥,010-3718-0928
대영고등학교,010-9093-1394
윤일빌딩,010-3255-2501
서울남현유치원,070-4149-0771
영동프라자,010-5337-7396
한화금융센터 태평로,02-3667-701
서울덕의초등학교,02-6850-927
부에노 빌딩,010-9485-8641
서원빌딩,010-3006-8581
나라키움 신사빌딩,02-6488-4780
노량진행정고시학원,010-3736-8185
쉬즈애비뉴 빌딩,010-5217-3455
블루펄빌딩,010-5470-0987
동신병원,010-2958-8388
한국지역난방공사 중앙지사,02-300-3353
하이힐복합건물,010-3272-9897
화성빌딩,010-2519-5007
등명중학교,02-2658-2728
서울지방국세청,02-2114-2226
서경빌딩,010-7235-3925
계성초등학교,02-590-5507
메가벤처타워,010-7411-0475
만리현감리교회,010-8918-0913
서강대학교,02-705-8627
기독교대한성결교회 본교회,010-9265-1579
신원프라자,010-2345-2107
아이티벤처타워,02-3772-8857
금강펜테리움IT타워운영위원회,010-3231-0584
서울숭곡초등학교,02-912-1656
청남빌딩,010-4567-8611
서울정진학교,02-688-1304
서울흑석초등학교,02-156-922
서울신길초등학교,010-2985-1301
남서울중학교,103725
서울특별시 동부병원,02-920-9179
미래빌딩,010-3759-9540
중화중학교,070-4070-3033
갈현청소년센터,010-9396-8345
HYBE,010-4156-6769
메가박스,010-4037-9875
아리랑타워,02-3475-5047
삼성중학교,010-3703-0384
하비에르국제학교,010-4851-7688
성애병원,010-8775-8805
전쟁기념관,010-9257-5535
sk서린빌딩,010-2559-8163
한국특허기술진흥원빌딩,02-6915-6796
강림빌딩,010-8127-8745
한국문학번역원,02-919-7726
대한예수교장로회화성교회,010-3893-2572
한국부동산원 서울강남지사 사옥,02-509-000
아메리칸스탠다드바쓰하우스빌딩,02-118-002
강남중학교,02-0866-882
서울남부지방법원,02-2192-1149
(주)전자타운,010-5468-5377
신영빌딩,02-2183-390
신도리코,02-923-916
서울드와이트외국인학교,010-5295-5283
송파헤븐시티더테라스,02-497-072
순복음강남교회,010-6342-6892
한도빌딩,02-538-6933
삼진제약,010-6567-5576
서울소방재난본부,02-3706-1341
서울남부지방검찰청,02-3219-4372
마곡에비앙오피스텔,010-8783-1906
가산비즈니스센터,010-8702-8424
대한상공회의소 서울기술교육센터,02-111-071
관악서울대학교치과병원,010-5043-5943
태양빌딩,02-529-007
벽산디지털밸리3차,010-9067-3866
한국가스공사 서울지역본부,010-4817-1332
IT프리미어타워,02-6211-991
문래역 대우이안,010 8987 1974
 S-플라자,010-7159-7245
성일교회,010-4281-3971
동신교회,02-764-1181
동대문밀리오레,010-3377-0846
한서그린빌리지,010-4701-7641
TOWER 8,010-2296-6763
한국부동산원 서울강남지사 사옥,02-509-000
서울신월초등학교,010-4547-9252
대치빌딩,010-2303-0196
한국체육대학교,02-410-6603
강동구민회관,02-0457-765
아르누보시티2,010-5250-1485
롯데쇼핑(주) 룟데마트맥스 금천점,010-4744-1671
SK T-타워,010-5327-1908
오원빌딩 ,02-175-534
(주)동호프라자,010-4008-3650
서울정인학교,02-983-4004
국립중앙박물관,02-2077-9166
한국부동산원 ,053-663-8353
대한제당 빌딩,02-410-6078
코원타워,010-2470-6085
한화빌딩,010-8898-6554
주식회사 엘켐텍,02-3402-7989
서울문창초등학교,02-836-2033
(재)프란치스꼬회,010-6734-4141
아이타워,02-753-100
성령빌딩,010-2575-8774
서울삼성초등학교,02-877-9329
대한예수교장로회 효성교회,02-882-054
성수 우림이비즈센터,02-0242-110
이레빌딩,010-2071-2101
건화빌딩,02-6938-7025
에이스하이테크시티,02-309-6118
금호중앙교회,010-5476-2759
백암고등학교,010-3788-8188
문정크리닉빌딩,010-5224-9419
고암빌딩,010-9050-2550
경찰공제회 자람빌딩,010-3379-6205
서광교회,02-2092-214
한국방송통신전파진흥원,010-9919-7829
양곡도매시장,02-3435-0589
다동빌딩,010-9141-8887
구로평생학습관 1관,02-620-7345
KC 마곡R&D센터,010-6472-7219
건설기계회관,010-5259-0545
건국대학교병원,02-2030-7272
한국방송통신대학교 남부학습센터,02-840-3723
서울지방우정청,02-6901-7655
보원빌딩,02-735-607
서울특별시서부교육지원청,02-905-614
서울드와이트외국인학교,"0269208798,01033380860"
수명고등학교,010-4734-1207
문화방송,02-789-2919
서울맹학교 이료전공교육관,02-731-6862
서울백운초등학교,010-9064-0545
동서울우편집중국청사,010-6314-8747
한국방송통신대학교 서울지역대학,02-606-718
(주)대호IR빌딩,02-521-3981
대치2차 아이파크,010-2741-0969
H&C타워,010-5287-4486
세신빌딩,010-5377-9127
삼경비엠코리아,010-5523-4457
 서울누원초등학교,010-6646-4681
서울은로초등학교,02-814-0136
대한예수교장로회총회회관,010-2670-7788
시그니쳐타워,010-6282-9466
현대백화점 본사,nan
시그니쳐타워,02-6020-0135
서울지방식품의약품안전청,02-2640-1310
시그니쳐타워,02-020-0109
경남제약타워,010-2070-9730
더케이트윈타워,010-2002-1993
KDB생명타워 (동자동 센트레빌아스테리움),010-5150-0371
동곡빌딩,010-8999-2854
문창중학교,02-821-8587
현대전원오피스텔,010-9028-3347
서울방배초등학교,02-595-9615
EWR빌딩,010-9102-0149
구로노인종합복지관,02-384-600
대한적십자사 서울남부혈액원,02-570-0612
기독교대한성결교회 세현교회,02-358-0551
창동중학교,010-5622-7512
광장종합사회복지관,010-8993-0119
광장종합사회복지관,070-4649-0912
우리금융상암센터,010-8607-2466
광진경찰서,010-2456-5768
서울숲코오롱디지털타워3차,010-3123-5614
서울남성초등학교,02-362-691
서울난곡초등학교,02-855-2134
화성빌딩,010-8984-4046
그랜드플라자,02-320-2530
동서식품(주),02-480-141
ES타워,02-1216-207
동대문 두산타워,010-3282-2625
대한예수교장로회영동중앙교회,010-9074-4179
